,Rank,City,State,2018_Estimate,2010_Cenius,Change,2016_land_area_sqmi,2016_land_area_sqkm,2016_population_density_sqmi,2016_population_density_sqkm,Location,cit_link,Demonym
16,17,Indianapolis[h],Indiana,"867,125","820,445",+5.69%,361.5,936.3,2366,914,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis),https://en.wikipedia.org/wiki/Indianapolis,Indianapolitan[8]
17,18,Seattle,Washington,"744,955","608,660",+22.39%,83.8,217,8405,3245,47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle),https://en.wikipedia.org/wiki/Seattle,Seattleite[5] or Seattlite[6]
18,19,Denver[i],Colorado,"716,492","600,158",+19.38%,153.3,397,4521,1746,39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver),https://en.wikipedia.org/wiki/Denver,Denverite
19,20,"Washington, D.C.[j]",District of Columbia,"702,455","601,723",+16.74%,61.1,158.2,11148,4304,"38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)","https://en.wikipedia.org/wiki/Washington,_D.C.",Washingtonian[1][2]
20,21,Boston,Massachusetts,"694,583","617,594",+12.47%,48.3,125.1,13938,5381,42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston),https://en.wikipedia.org/wiki/Boston,Bostonian
21,22,El Paso,Texas,"682,669","649,121",+5.17%,256.8,665.1,2660,1030,31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso),"https://en.wikipedia.org/wiki/El_Paso,_Texas",El Pasoan
22,23,Detroit,Michigan,"672,662","713,777",-5.76%,138.8,359.5,4847,1871,42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit),https://en.wikipedia.org/wiki/Detroit,Detroiter
23,24,Nashville[k],Tennessee,"669,053","601,222",+11.28%,475.9,1232.6,1388,536,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville),"https://en.wikipedia.org/wiki/Nashville,_Tennessee",Nashvillian
24,25,Portland,Oregon,"653,115","583,776",+11.88%,133.5,345.8,4793,1851,45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland),"https://en.wikipedia.org/wiki/Portland,_Oregon",Portlander
25,26,Memphis,Tennessee,"650,618","646,889",+0.58%,317.4,822.1,2056,794,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis),"https://en.wikipedia.org/wiki/Memphis,_Tennessee",Memphian
26,27,Oklahoma City,Oklahoma,"649,021","579,999",+11.90%,606.3,1570.3,1053,407,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City),https://en.wikipedia.org/wiki/Oklahoma_City,
27,28,Las Vegas,Nevada,"644,644","583,756",+10.43%,134.4,348.1,4709,1818,36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas),https://en.wikipedia.org/wiki/Las_Vegas,Las Vegan
28,29,Louisville[l],Kentucky,"620,118","597,337",+3.81%,263.5,682.5,2339,903,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville),"https://en.wikipedia.org/wiki/Louisville,_Kentucky",Louisvillian
29,30,Baltimore[m],Maryland,"602,495","620,961",-2.97%,80.9,209.5,7598,2934,39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore),https://en.wikipedia.org/wiki/Baltimore,Baltimorean
30,31,Milwaukee,Wisconsin,"592,025","594,833",-0.47%,96.2,249.2,6186,2388,43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee),https://en.wikipedia.org/wiki/Milwaukee,Milwaukeean
31,32,Albuquerque,New Mexico,"560,218","545,852",+2.63%,188.2,487.4,2972,1147,35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque),"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","Albuquerquean,Burqueño[4]"
32,33,Tucson,Arizona,"545,975","520,116",+4.97%,230.8,597.8,2299,888,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson),"https://en.wikipedia.org/wiki/Tucson,_Arizona",Tucsonan
33,34,Fresno,California,"530,093","494,665",+7.16%,114.4,296.3,4563,1762,36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno),"https://en.wikipedia.org/wiki/Fresno,_California",Fresnan
34,35,Mesa,Arizona,"508,958","439,041",+15.92%,137.9,357.2,3514,1357,33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa),"https://en.wikipedia.org/wiki/Mesa,_Arizona",
35,36,Sacramento,California,"508,529","466,488",+9.01%,97.9,253.6,5059,1953,38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento),"https://en.wikipedia.org/wiki/Sacramento,_California",Sacramentan
36,37,Atlanta,Georgia,"498,044","420,003",+18.58%,133.5,345.8,3539,1366,33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta),https://en.wikipedia.org/wiki/Atlanta,Atlantan[9]
37,38,Kansas City,Missouri,"491,918","459,787",+6.99%,315,815.8,1528,590,"39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ / 39.1251; -94.5510﻿ (Kansas City, MO)","https://en.wikipedia.org/wiki/Kansas_City,_Missouri",Kansas Citian
38,39,Colorado Springs,Colorado,"472,688","416,427",+13.51%,195.6,506.6,2378,918,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ / 38.8673; -104.7607﻿ (Colorado Springs),"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",
39,40,Miami,Florida,"470,914","399,457",+17.89%,36,93.2,12599,4865,25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ / 25.7752; -80.2086﻿ (Miami),https://en.wikipedia.org/wiki/Miami,MiamianMiamense
40,41,Raleigh,North Carolina,"469,298","403,892",+16.19%,145.1,375.8,3163,1221,35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ / 35.8306; -78.6418﻿ (Raleigh),"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",Raleighite
41,42,Omaha,Nebraska,"468,262","408,958",+14.50%,133.2,345,3356,1296,41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ / 41.2644; -96.0451﻿ (Omaha),"https://en.wikipedia.org/wiki/Omaha,_Nebraska",
42,43,Long Beach,California,"467,354","462,257",+1.10%,50.3,130.3,9347,3609,33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ / 33.8092; -118.1553﻿ (Long Beach),"https://en.wikipedia.org/wiki/Long_Beach,_California",
43,44,Virginia Beach[m],Virginia,"450,189","437,994",+2.78%,244.7,633.8,1850,710,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ / 36.7800; -76.0252﻿ (Virginia Beach),"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",
44,45,Oakland,California,"429,082","390,724",+9.82%,55.9,144.8,7514,2901,37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ / 37.7698; -122.2257﻿ (Oakland),"https://en.wikipedia.org/wiki/Oakland,_California",Oaklander
45,46,Minneapolis,Minnesota,"425,403","382,578",+11.19%,54,139.9,7660,2960,44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ / 44.9633; -93.2683﻿ (Minneapolis),https://en.wikipedia.org/wiki/Minneapolis,Minneapolitan
46,47,Tulsa,Oklahoma,"400,669","391,906",+2.24%,196.8,509.7,2048,791,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ / 36.1279; -95.9023﻿ (Tulsa),"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",Tulsan
47,48,Arlington,Texas,"398,112","365,438",+8.94%,95.8,248.1,4100,1600,32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ / 32.7007; -97.1247﻿ (Arlington),"https://en.wikipedia.org/wiki/Arlington,_Texas",Arlingtonite
48,49,Tampa,Florida,"392,890","335,709",+17.03%,113.4,293.7,3326,1284,27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ / 27.9701; -82.4797﻿ (Tampa),"https://en.wikipedia.org/wiki/Tampa,_Florida","Tampan, Tampanian, Tampeño[8]"
49,50,New Orleans[n],Louisiana,"391,006","343,829",+13.72%,169.4,438.7,2311,892,30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W﻿ / 30.0534; -89.9345﻿ (New Orleans),https://en.wikipedia.org/wiki/New_Orleans,New Orleanian
50,51,Wichita,Kansas,"389,255","382,368",+1.80%,160.4,415.4,2431,939,37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W﻿ / 37.6907; -97.3459﻿ (Wichita),"https://en.wikipedia.org/wiki/Wichita,_Kansas",Wichitan
51,52,Cleveland,Ohio,"383,793","396,815",-3.28%,77.7,201.2,4965,1917,41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W﻿ / 41.4785; -81.6794﻿ (Cleveland),https://en.wikipedia.org/wiki/Cleveland,Clevelander
52,53,Bakersfield,California,"383,579","347,483",+10.39%,148.8,385.4,2529,976,35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W﻿ / 35.3212; -119.0183﻿ (Bakersfield),"https://en.wikipedia.org/wiki/Bakersfield,_California",Bakersfieldian
53,54,Aurora,Colorado,"374,114","325,078",+15.08%,153.5,397.6,2356,910,39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ / 39.6880; -104.6897﻿ (Aurora),"https://en.wikipedia.org/wiki/Aurora,_Colorado",
54,55,Anaheim,California,"352,005","336,265",+4.68%,50,129.5,7021,2711,33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ / 33.8555; -117.7601﻿ (Anaheim),"https://en.wikipedia.org/wiki/Anaheim,_California",
55,56,Honolulu[b],Hawaii,"347,397","337,256",+3.01%,60.5,156.7,5815,2245,21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ / 21.3243; -157.8476﻿ (Honolulu),https://en.wikipedia.org/wiki/Honolulu,Honolulan
56,57,Santa Ana,California,"332,725","324,528",+2.53%,27.1,70.2,12333,4762,33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ / 33.7363; -117.8830﻿ (Santa Ana),"https://en.wikipedia.org/wiki/Santa_Ana,_California",
57,58,Riverside,California,"330,063","303,871",+8.62%,81.2,210.3,3999,1544,33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside),"https://en.wikipedia.org/wiki/Riverside,_California",
58,59,Corpus Christi,Texas,"326,554","305,215",+6.99%,174.6,452.2,1866,720,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi),"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas",
59,60,Lexington[o],Kentucky,"323,780","295,803",+9.46%,283.6,734.5,1123,434,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington),"https://en.wikipedia.org/wiki/Lexington,_Kentucky",Lexingtonian
60,61,Stockton,California,"311,178","291,707",+6.67%,61.7,159.8,4977,1922,37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton),"https://en.wikipedia.org/wiki/Stockton,_California",
61,62,Henderson,Nevada,"310,390","257,729",+20.43%,104.7,271.2,2798,1080,36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ / 36.0097; -115.0357﻿ (Henderson),"https://en.wikipedia.org/wiki/Henderson,_Nevada",
62,63,Saint Paul,Minnesota,"307,695","285,068",+7.94%,52,134.7,5815,2245,44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul),"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",Saint Paulite
63,64,St. Louis[m],Missouri,"302,838","319,294",-5.15%,62,160.6,5023,1939,38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis),https://en.wikipedia.org/wiki/St._Louis,St. Louisan
64,65,Cincinnati,Ohio,"302,605","296,943",+1.91%,77.4,200.5,3860,1490,39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ / 39.1402; -84.5058﻿ (Cincinnati),https://en.wikipedia.org/wiki/Cincinnati,Cincinnatian
65,66,Pittsburgh,Pennsylvania,"301,048","305,704",-1.52%,55.4,143.5,5481,2116,40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ / 40.4398; -79.9766﻿ (Pittsburgh),https://en.wikipedia.org/wiki/Pittsburgh,"Pittsburgher, Yinzer"
66,67,Greensboro,North Carolina,"294,722","269,666",+9.29%,128.3,332.3,2237,864,36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ / 36.0951; -79.8270﻿ (Greensboro),"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina",
67,68,Anchorage[p],Alaska,"291,538","291,826",-0.10%,1706.6,4420.1,175,68,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ / 61.1743; -149.2843﻿ (Anchorage),"https://en.wikipedia.org/wiki/Anchorage,_Alaska","Anchoragite
Anchoriginal (informal)"
68,69,Plano,Texas,"288,061","259,841",+10.86%,71.7,185.7,3990,1540,33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ / 33.0508; -96.7479﻿ (Plano),"https://en.wikipedia.org/wiki/Plano,_Texas",Planoite
69,70,Lincoln,Nebraska,"287,401","258,379",+11.23%,92.1,238.5,3044,1175,40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ / 40.8105; -96.6803﻿ (Lincoln),"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",Lincolnite
70,71,Orlando,Florida,"285,713","238,300",+19.90%,105.2,272.5,2635,1017,28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ / 28.4166; -81.2736﻿ (Orlando),"https://en.wikipedia.org/wiki/Orlando,_Florida",Orlandoan
71,72,Irvine,California,"282,572","212,375",+33.05%,65.6,169.9,4057,1566,33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ / 33.6784; -117.7713﻿ (Irvine),"https://en.wikipedia.org/wiki/Irvine,_California",Irvinite
72,73,Newark,New Jersey,"282,090","277,140",+1.79%,24.1,62.4,11691,4514,40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ / 40.7242; -74.1726﻿ (Newark),"https://en.wikipedia.org/wiki/Newark,_New_Jersey",Newarker[18]
73,74,Toledo,Ohio,"274,975","287,208",-4.26%,80.7,209,3451,1332,41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W﻿ / 41.6641; -83.5819﻿ (Toledo),"https://en.wikipedia.org/wiki/Toledo,_Ohio",Toledoan
74,75,Durham,North Carolina,"274,291","228,330",+20.13%,109.8,284.4,2395,925,35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W﻿ / 35.9811; -78.9029﻿ (Durham),"https://en.wikipedia.org/wiki/Durham,_North_Carolina",Durhamite
75,76,Chula Vista,California,"271,651","243,916",+11.37%,49.6,128.5,5387,2080,32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W﻿ / 32.6277; -117.0152﻿ (Chula Vista),"https://en.wikipedia.org/wiki/Chula_Vista,_California",
76,77,Fort Wayne,Indiana,"267,633","253,691",+5.50%,110.6,286.5,2391,923,41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W﻿ / 41.0882; -85.1439﻿ (Fort Wayne),"https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana",
77,78,Jersey City,New Jersey,"265,549","247,597",+7.25%,14.8,38.3,17848,6891,40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W﻿ / 40.7114; -74.0648﻿ (Jersey City),"https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey",
78,79,St. Petersburg,Florida,"265,098","244,769",+8.31%,61.8,160.1,4223,1631,27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ / 27.7620; -82.6441﻿ (St. Petersburg),"https://en.wikipedia.org/wiki/St._Petersburg,_Florida","St. Petersburger, St. Peteian, Burgian, Saint Petersburgite"
79,80,Laredo,Texas,"261,639","236,091",+10.82%,101.1,261.8,2544,982,27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ / 27.5604; -99.4892﻿ (Laredo),"https://en.wikipedia.org/wiki/Laredo,_Texas",Laredoan
80,81,Madison,Wisconsin,"258,054","233,209",+10.65%,77,199.4,3280,1270,43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ / 43.0878; -89.4299﻿ (Madison),"https://en.wikipedia.org/wiki/Madison,_Wisconsin",Madisonian
81,82,Chandler,Arizona,"257,165","236,123",+8.91%,64.9,168.1,3813,1472,33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ / 33.2829; -111.8549﻿ (Chandler),"https://en.wikipedia.org/wiki/Chandler,_Arizona",Chandlerite
82,83,Buffalo,New York,"256,304","261,310",-1.92%,40.4,104.6,6359,2455,42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ / 42.8925; -78.8597﻿ (Buffalo),"https://en.wikipedia.org/wiki/Buffalo,_New_York",Buffalonian
83,84,Lubbock,Texas,"255,885","229,573",+11.46%,124.6,322.7,2027,783,33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ / 33.5656; -101.8867﻿ (Lubbock),"https://en.wikipedia.org/wiki/Lubbock,_Texas",Lubbockite
84,85,Scottsdale,Arizona,"255,310","217,385",+17.45%,183.9,476.3,1341,518,33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ / 33.6843; -111.8611﻿ (Scottsdale),"https://en.wikipedia.org/wiki/Scottsdale,_Arizona",
85,86,Reno,Nevada,"250,998","225,221",+11.45%,107.3,277.9,2286,883,39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ / 39.5491; -119.8499﻿ (Reno),"https://en.wikipedia.org/wiki/Reno,_Nevada",Renoites
86,87,Glendale,Arizona,"250,702","226,721",+10.58%,59.1,153.1,4161,1607,33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ / 33.5331; -112.1899﻿ (Glendale),"https://en.wikipedia.org/wiki/Glendale,_Arizona",Glendalian
87,88,Gilbert[q],Arizona,"248,279","208,453",+19.11%,68,176.1,3487,1346,33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ / 33.3103; -111.7431﻿ (Gilbert),"https://en.wikipedia.org/wiki/Gilbert,_Arizona",
88,89,Winston–Salem,North Carolina,"246,328","229,617",+7.28%,132.5,343.2,1828,706,36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ / 36.1027; -80.2610﻿ (Winston-Salem),"https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina",Winston-Salemite
89,90,North Las Vegas,Nevada,"245,949","216,961",+13.36%,98,253.8,2436,941,36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ / 36.2857; -115.0939﻿ (North Las Vegas),"https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada",
90,91,Norfolk[m],Virginia,"244,076","242,803",+0.52%,53.3,138,4599,1776,36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ / 36.9230; -76.2446﻿ (Norfolk),"https://en.wikipedia.org/wiki/Norfolk,_Virginia",
91,92,Chesapeake[m],Virginia,"242,634","222,209",+9.19%,338.5,876.7,703,271,36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ / 36.6794; -76.3018﻿ (Chesapeake),"https://en.wikipedia.org/wiki/Chesapeake,_Virginia",
92,93,Garland,Texas,"242,507","226,876",+6.89%,57,147.6,4122,1592,32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ / 32.9098; -96.6303﻿ (Garland),"https://en.wikipedia.org/wiki/Garland,_Texas",
93,94,Irving,Texas,"242,242","216,290",+12.00%,67,173.5,3557,1373,32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ / 32.8577; -96.9700﻿ (Irving),"https://en.wikipedia.org/wiki/Irving,_Texas",
94,95,Hialeah,Florida,"238,942","224,669",+6.35%,21.5,55.7,10995,4245,25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ / 25.8699; -80.3029﻿ (Hialeah),"https://en.wikipedia.org/wiki/Hialeah,_Florida",
95,96,Fremont,California,"237,807","214,089",+11.08%,77.5,200.7,3008,1161,37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W﻿ / 37.4945; -121.9412﻿ (Fremont),"https://en.wikipedia.org/wiki/Fremont,_California",
96,97,Boise[r],Idaho,"228,790","205,671",+11.24%,82.1,212.6,2718,1049,43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W﻿ / 43.6002; -116.2317﻿ (Boise),"https://en.wikipedia.org/wiki/Boise,_Idaho",Boisean
